# Logfile created on 2016-06-09 19:34:20 +0300 by logger.rb/53141
I, [2016-06-09T19:34:20.686994 #13367]  INFO -- Pubnub::Client: Created new Pubnub::Client instance. Version: 3.8.1
D, [2016-06-09T19:34:20.687615 #13367] DEBUG -- Pubnub::Event: Initialized Pubnub::Publish
D, [2016-06-09T19:34:20.688127 #13367] DEBUG -- Pubnub::Publish: Fired event Pubnub::Publish
D, [2016-06-09T19:34:20.688307 #13367] DEBUG -- Pubnub::Event: Initialized Pubnub::Publish
D, [2016-06-09T19:34:20.688348 #13367] DEBUG -- Pubnub::Client: Looking for requester for single_event
D, [2016-06-09T19:34:20.688920 #13367] DEBUG -- Pubnub::Event: Requested URI: http://pubsub.pubnub.com/publish/pub-c-dc0c88cf-f1dd-468d-88a4-160c26eb981d/sub-c-b30e1dac-d56c-11e5-b684-02ee2ddab7fe/0/curago_dev_4/0/%7B%22google_event_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg_20151201T160000Z%22%5D%2C%22user_id%22%3A%5Bnull%2C4%5D%2C%22recurring_event_id%22%3A%5Bnull%2C1585%5D%2C%22notes%22%3A%5Bnull%2C%22https%3A%2F%2Fglobal.gotomeeting.com%2Fjoin%2F694673477%5CnCompany-wide%20meeting%20between%20all%20WeezLabs%20offices.%20Executives%20will%20provide%20monthly%20report%20and%20plans%20for%20the%20next%20month.%22%5D%2C%22title%22%3A%5Bnull%2C%22Monthly%20All%20Hands%22%5D%2C%22starts_at%22%3A%5Bnull%2C%222015-12-01T16%3A00%3A00.000Z%22%5D%2C%22ends_at%22%3A%5Bnull%2C%222015-12-01T16%3A50%3A00.000Z%22%5D%2C%22frequency%22%3A%5Bnull%2C%22once%22%5D%2C%22calendar_id%22%3A%5Bnull%2C111%5D%2C%22google_event_uniq_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg%40google.com%22%5D%2C%22created_at%22%3Anull%2C%22updated_at%22%3Anull%2C%22id%22%3Anull%7D?pnsdk=PubNub-Ruby/3.8.1&uuid=97d0854a-99ce-4f46-a9b7-9af0a2d4f5a8
D, [2016-06-09T19:34:20.689862 #13367] DEBUG -- Pubnub::Publish: Fired event Pubnub::Publish
D, [2016-06-09T19:34:20.689898 #13367] DEBUG -- Pubnub::Client: Looking for requester for single_event
D, [2016-06-09T19:34:20.690217 #13367] DEBUG -- Pubnub::Event: Requested URI: http://pubsub.pubnub.com/publish/pub-c-dc0c88cf-f1dd-468d-88a4-160c26eb981d/sub-c-b30e1dac-d56c-11e5-b684-02ee2ddab7fe/0/curago_dev_%5B%5D/0/%7B%22google_event_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg_20151201T160000Z%22%5D%2C%22user_id%22%3A%5Bnull%2C4%5D%2C%22recurring_event_id%22%3A%5Bnull%2C1585%5D%2C%22notes%22%3A%5Bnull%2C%22https%3A%2F%2Fglobal.gotomeeting.com%2Fjoin%2F694673477%5CnCompany-wide%20meeting%20between%20all%20WeezLabs%20offices.%20Executives%20will%20provide%20monthly%20report%20and%20plans%20for%20the%20next%20month.%22%5D%2C%22title%22%3A%5Bnull%2C%22Monthly%20All%20Hands%22%5D%2C%22starts_at%22%3A%5Bnull%2C%222015-12-01T16%3A00%3A00.000Z%22%5D%2C%22ends_at%22%3A%5Bnull%2C%222015-12-01T16%3A50%3A00.000Z%22%5D%2C%22frequency%22%3A%5Bnull%2C%22once%22%5D%2C%22calendar_id%22%3A%5Bnull%2C111%5D%2C%22google_event_uniq_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg%40google.com%22%5D%2C%22created_at%22%3Anull%2C%22updated_at%22%3Anull%2C%22id%22%3Anull%7D?pnsdk=PubNub-Ruby/3.8.1&uuid=97d0854a-99ce-4f46-a9b7-9af0a2d4f5a8
D, [2016-06-09T19:34:20.919474 #13367] DEBUG -- Pubnub::Event: Event#handle
D, [2016-06-09T19:34:20.919623 #13367] DEBUG -- Pubnub::Event: Event#add_common_data_to_envelopes
D, [2016-06-09T19:34:20.919681 #13367] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Publish
D, [2016-06-09T19:34:22.710028 #13367] DEBUG -- Pubnub::Event: Initialized Pubnub::Publish
D, [2016-06-09T19:34:22.710685 #13367] DEBUG -- Pubnub::Publish: Fired event Pubnub::Publish
D, [2016-06-09T19:34:22.710928 #13367] DEBUG -- Pubnub::Event: Initialized Pubnub::Publish
D, [2016-06-09T19:34:22.710974 #13367] DEBUG -- Pubnub::Client: Looking for requester for single_event
